Date,Daily_Return,Cumulative_Return,Equity,ABN_NA_Equity_BPSO_IM_Equity_return,ACA_FP_Equity_BPSO_IM_Equity_return,BPSO_IM_Equity_ISP_IM_Equity_return,DNB_NO_Equity_NDA_FH_Equity_return,JYSK_DC_Equity_SYDB_DC_Equity_return
2022-05-30,0.024799813810368002,0.14822595434807928,1148.2259543480793,0.01624782917644385,0.15235523450583188,0.0,0.0,-0.04460399463043574
2022-05-31,-0.001255559191577027,0.14678428869709026,1146.7842886970902,-0.016293216554207235,0.0,0.0,0.0,0.0100154205963221
2022-06-01,0.002549648023279594,0.14970818499189487,1149.7081849918948,0.009679209325282434,0.0,0.0,0.0,0.0030690307911155346
2022-06-02,-0.006011208965875037,0.14279704884213174,1142.7970488421317,-0.030056044829375184,0.0,0.0,0.0,0.0
2022-06-03,0.0035880675080850024,0.1468974818014177,1146.8974818014176,0.01794033754042501,0.0,0.0,0.0,0.0
2022-06-06,-0.004328819490123603,0.14193276962902202,1141.932769629022,-0.021644097450618016,0.0,0.0,0.0,0.0
2022-06-07,-0.0008236255083884814,0.14099224467109095,1140.992244671091,-0.004118127541942407,0.0,0.0,0.0,0.0
2022-06-08,8.536248433399507e-05,0.14108964260370183,1141.0896426037018,0.00042681242166997535,0.0,0.0,0.0,0.0
2022-06-09,-0.0041292358877099925,0.13637781430036844,1136.3778143003685,-0.02064617943854996,0.0,0.0,0.0,0.0
2022-06-10,-0.02300892973155959,0.11023097702262796,1110.230977022628,-0.11504464865779795,0.0,0.0,0.0,0.0
2022-06-13,-0.0024915447035703366,0.1074647869120875,1107.4647869120874,-0.012457723517851682,0.0,0.0,0.0,0.0
2022-06-14,-0.005488886035582974,0.10138603890830589,1101.3860389083059,-0.02398347705209769,0.0,0.0,0.0,-0.003460953125817179
2022-06-15,0.006648760110777996,0.10870889047036725,1108.7088904703674,0.03599790559713778,0.0,0.0,0.0,-0.002754105043247801
2022-06-16,-0.01230356285280958,0.0950678209509963,1095.0678209509963,-0.02475009390586469,0.0,0.0,0.0,-0.03676772035818321
2022-06-17,-0.016492233734439577,0.07700770649280919,1077.0077064928091,-0.08246116867219788,0.0,0.0,0.0,0.0
2022-06-20,-0.007083085391252553,0.06937916894068352,1069.3791689406835,-0.03541542695626276,0.0,0.0,0.0,0.0
2022-06-21,-0.015377947011503412,0.052934312745508194,1052.9343127455081,-0.054156902858015554,0.0,0.0,0.0,-0.022732832199501507
2022-06-22,-0.005909204185397288,0.04671230889768396,1046.712308897684,-0.020390595217646856,0.0,0.0,0.0,-0.009155425709339582
2022-06-23,0.01144690758765108,0.0586939279684926,1058.6939279684925,0.027119370087238526,0.0,0.0,0.0,0.030115167851016866
2022-06-24,-0.0007399474987351607,0.057910550044566245,1057.9105500445662,-0.01077539392491067,0.020281576961292735,0.0,0.0,-0.013205920530057869
2022-06-27,-0.0032774805335896054,0.05444326881051609,1054.4432688105162,-0.016387402667948026,0.0,0.0,0.0,0.0
2022-06-28,0.0014466546112115175,0.05596868402760169,1055.9686840276017,0.0072332730560575875,0.0,0.0,0.0,0.0
2022-06-29,0.0265534590158784,0.08400830520097968,1084.0083052009797,0.132767295079392,0.0,0.0,0.0,0.0
2022-06-30,0.0,0.08400830520097968,1084.0083052009797,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.003545797357952041,0.08785197898555941,1087.8519789855593,0.0,0.0,0.0,0.0,0.017728986789760204
2022-07-04,0.0,0.08785197898555941,1087.8519789855593,0.0,0.0,0.0,0.0,0.0
2022-07-05,0.0,0.08785197898555941,1087.8519789855593,0.0,0.0,0.0,0.0,0.0
2022-07-06,-0.0010225712152052812,0.08673957286544454,1086.7395728654446,0.0,-0.005112856076026406,0.0,0.0,0.0
2022-07-07,-0.0019013162661801087,0.08467333723845383,1084.6733372384538,0.0,-0.009506581330900543,0.0,0.0,0.0
2022-07-08,-0.0020674914181951108,0.08243078442216834,1082.4307844221682,0.0,-0.011542637999664151,0.0,0.0,0.0012051809086885967
2022-07-11,-0.0015757673009342721,0.0807251253865513,1080.7251253865513,0.0,-0.006213718984905414,0.0,0.0,-0.0016651175197659462
2022-07-12,0.000552205430267816,0.0813219076694165,1081.3219076694165,0.0,0.006545524490557786,0.0,0.0,-0.0037844973392187065
2022-07-13,0.0028765970295770993,0.0844324350570349,1084.4324350570348,0.0,0.004738383133805368,0.0,0.0,0.009644602014080128
2022-07-14,0.0010189504952394346,0.08553741802379,1085.53741802379,0.0,0.0,0.0,0.0,0.005094752476197173
2022-07-15,0.002272187053056385,0.08800396209063188,1088.0039620906318,0.0,-0.005224927904980081,0.0,0.0,0.016585863170262005
2022-07-18,-0.002125886626809548,0.08569098901770755,1085.6909890177076,0.0,-0.0075285458532339256,0.0,0.0,-0.0031008872808138133
2022-07-19,0.0023008730336698145,0.08818902613723667,1088.1890261372366,0.0,0.022411616161616132,0.0,0.0,-0.01090725099326706
2022-07-20,0.005212732175154855,0.09386146408643281,1093.8614640864328,0.026720070870934642,0.0,0.0,0.0,-0.0006564099951603675
2022-07-21,0.0017177193912945698,0.09574041113468379,1095.7404111346839,0.0,-0.0025279717038314553,0.0,0.0,0.011116568660304305
2022-07-22,-0.00019682040006892,0.09552474706859249,1095.5247470685924,0.0,-0.0009841020003446,0.0,0.0,0.0
2022-07-25,-0.0006843225367205275,0.09477505479463844,1094.7750547946384,0.0,-0.0034216126836026373,0.0,0.0,0.0
2022-07-26,-0.00367712492612875,0.0907494301521492,1090.7494301521492,0.0,-0.01838562463064375,0.0,0.0,0.0
2022-07-27,-0.0007241134937925331,0.08995960377142942,1089.9596037714293,0.0,-0.0036205674689626655,0.0,0.0,0.0
2022-07-28,0.0003651844461373344,0.09035764006564495,1090.357640065645,0.0,0.0018259222306866718,0.0,0.0,0.0
2022-07-29,0.0004001306832893903,0.09079392561319422,1090.7939256131942,0.0,0.0020006534164469514,0.0,0.0,0.0
2022-08-01,-0.0004631050255843761,0.09028877346436581,1090.2887734643657,0.0,-0.0023155251279218803,0.0,0.0,0.0
2022-08-02,0.00019076143598417694,0.09049675851642935,1090.4967585164293,0.0,0.0009538071799208847,0.0,0.0,0.0
2022-08-03,0.0,0.09049675851642935,1090.4967585164293,0.0,0.0,0.0,0.0,0.0
2022-08-04,0.0,0.09049675851642935,1090.4967585164293,0.0,0.0,0.0,0.0,0.0
2022-08-05,-0.0031642164943029186,0.08704619068614794,1087.0461906861478,-0.00623026031683005,-0.009590822154684542,0.0,0.0,0.0
2022-08-08,0.0009444326478164726,0.08807283259831644,1088.0728325983164,0.0547932882814246,-0.050071125042342235,0.0,0.0,0.0
2022-08-09,-0.007677185382103402,0.07971949575322879,1079.7194957532288,0.0,-0.03838592691051701,0.0,0.0,0.0
2022-08-10,-0.004802155093981408,0.07453451527662636,1074.5345152766263,0.0,-0.024010775469907042,0.0,0.0,0.0
2022-08-11,-0.007102309712658217,0.06690283835219057,1066.9028383521907,0.0,-0.03230987500467042,0.0,0.0,-0.0032016735586206657
2022-08-12,0.03378452537036343,0.10294764436221304,1102.947644362213,0.0,0.1252890816234753,0.0,0.0,0.04363354522834184
2022-08-15,0.0,0.10294764436221304,1102.947644362213,0.0,0.0,0.0,0.0,0.0
2022-08-16,0.0,0.10294764436221304,1102.947644362213,0.0,0.0,0.0,0.0,0.0
2022-08-17,0.0,0.10294764436221304,1102.947644362213,0.0,0.0,0.0,0.0,0.0
2022-08-18,0.0,0.10294764436221304,1102.947644362213,0.0,0.0,0.0,0.0,0.0
2022-08-19,0.0,0.10294764436221304,1102.947644362213,0.0,0.0,0.0,0.0,0.0
2022-08-22,0.0004177644056119867,0.10340841662928124,1103.4084166292812,0.0,0.0,0.0020888220280599334,0.0,0.0
2022-08-23,-9.079945104448762e-05,0.10330822775077331,1103.3082277507733,0.0,0.0,-0.00045399725522243806,0.0,0.0
2022-08-24,0.00196577383687353,0.10547708219889307,1105.477082198893,0.0,0.0,0.00982886918436765,0.0,0.0
2022-08-25,0.0,0.10547708219889307,1105.477082198893,0.0,0.0,0.0,0.0,0.0
2022-08-26,0.0004718571134499472,0.10599870942388434,1105.9987094238843,0.002359285567249736,0.0,0.0,0.0,0.0
2022-08-29,-0.0011775614063476603,0.1046963280281965,1104.6963280281966,-0.005887807031738301,0.0,0.0,0.0,0.0
2022-08-30,0.0005230716993077867,0.10527416341371731,1105.2741634137174,0.002615358496538933,0.0,0.0,0.0,0.0
2022-08-31,0.0021198304965464932,0.10761715729236654,1107.6171572923665,0.010599152482732466,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.10761715729236654,1107.6171572923665,0.0,0.0,0.0,0.0,0.0
2022-09-02,0.0,0.10761715729236654,1107.6171572923665,0.0,0.0,0.0,0.0,0.0
2022-09-05,0.0016274367142943725,0.10941973411952644,1109.4197341195265,0.0,0.0,0.0,0.0,0.008137183571471862
2022-09-06,-0.0018193782005651471,0.10740128003999261,1107.4012800399926,0.0,0.0,0.0,0.0,-0.009096891002825735
2022-09-07,-0.002027280870121562,0.10515626660941946,1105.1562666094194,0.0,0.0,0.0,0.0,-0.010136404350607808
2022-09-08,-0.002061226275514283,0.10287828947413491,1102.8782894741348,0.0,0.0,0.0,0.0,-0.010306131377571415
