Dates,ABN NA Equity,ACA FP Equity,AIBG ID Equity,AZA SS Equity,BAMI IM Equity,BARC LN Equity,BBVA SQ Equity,BCP PL Equity,BCVN SE Equity,BG AV Equity,BGN IM Equity,BIRG ID Equity,BKT SQ Equity,BMPS IM Equity,BNP FP Equity,BPE IM Equity,BPSO IM Equity,CABK SQ Equity,CBK GY Equity,CMBN SE Equity,DANSKE DC Equity,DBK GY Equity,DNB NO Equity,EBS AV Equity,FBK IM Equity,GLE FP Equity,HSBA LN Equity,INGA NA Equity,INVP LN Equity,ISP IM Equity,JYSK DC Equity,KBC BB Equity,LLOY LN Equity,NDA FH Equity,NWG LN Equity,PEO PW Equity,PKO PW Equity,RBI AV Equity,RILBA DC Equity,SAB SQ Equity,SAN SQ Equity,SB1NO NO Equity,SEBA SS Equity,SHBA SS Equity,SPL PW Equity,STAN LN Equity,SWEDA SS Equity,SYDB DC Equity,UCG IM Equity
11/1/2022,8.3032,9.302,2.954,223.4,3.07,150.34,5.255,0.1567,88.75,49,30.37,7.484,6.12,2.0025,47.84,1.895,3.642,3.368,8.25,72.25,121.35,9.728,185.35,24.88,13.805,23.46,458.55,10.072,442.8,1.9452,376.9,50.72,42.205,9.643,238.5,78.44,26.07,14.41,823,0.8138,2.6435,107,116.4,102.6,254.2,528.2,163,220.4,12.646
11/2/2022,8.2517,9.326,2.91,215.4,3.096,150.1,5.286,0.1501,89.25,49.52,30.67,7.508,6.1,1.9456,47.88,1.926,3.732,3.372,8.156,73.05,123.2,9.793,180.95,25.28,14.03,23.355,456.8,9.894,450.8,1.9448,383.0,50.28,41.775,9.672,235.8,79.46,26.41,14.53,840,0.8098,2.6215,104.2,117.3,103.15,254.2,526.6,163.35,235.2,12.9
11/3/2022,8.4776,9.393,2.99,204.6,3.06,149.52,5.227,0.1537,90.4,49.8,30.33,7.714,6.05,1.84,49.385,1.9275,3.75,3.368,8.08,73.35,122.0,9.669,180.9,25.33,13.765,23.5,463.15,10.73,450.2,1.9696,387.9,50.6,42.23,9.703,231.8,77.1,25.9,14.52,826,0.8144,2.59,106.4,117.15,103.4,248.4,533.4,165,247.6,12.818
11/4/2022,8.6478,9.627,3.06,210.2,3.158,153.52,5.304,0.1479,89.95,49.96,31.09,7.558,5.784,1.62,50.63,2.013,3.756,3.252,8.222,74.5,121.7,9.726,182.2,28.03,14.175,24.1,490.0,10.94,459.9,2.065,387.4,53,42.75,9.759,238,75.82,25.65,14.58,828,0.8016,2.669,106.8,117.9,104.4,252.4,554.6,166.75,249.6,13.042
11/7/2022,8.764,9.729,3.12,210,3.188,152.6,5.337,0.146,90.8,50.6,32.25,7.33,5.87,1.81,50.69,2.05,3.824,3.342,8.328,75.1,123.65,9.766,180.75,28.44,14.285,23.59,479.4,11.09,460.6,2.129,400.6,53.44,42.015,9.768,238.4,79.38,26.63,14.81,842,0.8078,2.6605,107.4,116.65,103.7,261.0,558.0,164.65,247.2,12.8
11/8/2022,8.8388,9.731,3.058,216.4,3.104,154.18,5.32,0.1458,91.55,50.35,31.8,7.366,5.77,1.858,50.69,1.8925,3.54,3.286,8.248,76.0,124.55,9.871,182.8,28.75,14.01,23.815,478.65,11.06,462.1,2.148,406.0,53.66,42.85,9.888,239.8,79.68,26.68,15.04,851,0.8126,2.645,108.8,118.6,104.75,261.0,562.0,165,249.2,12.87
11/9/2022,9.229,9.703,3.058,217.3,3.161,154.4,5.287,0.1454,93.15,49.78,31.77,7.39,5.82,1.8,50.26,1.84,3.51,3.271,7.654,76.5,122.7,9.693,182.15,28.23,14.29,23.4,476.7,10.986,468.4,2.154,408.0,50.28,42.565,9.764,237,80.04,26.77,14.62,850,0.8106,2.6125,108.7,117.7,103.8,267.4,563.4,164,247.0,12.858
11/10/2022,9.1045,9.458,3.05,237,3.104,157,5.306,0.1444,91.85,50.1,33.27,7.306,5.7,1.8,50.85,1.8785,3.566,3.187,7.708,77.35,120.65,9.964,184.25,28.09,14.365,23.575,474.15,11.024,482.3,2.177,404.0,50,43.3,9.822,240,82.02,27.6,14.76,851,0.7928,2.5535,109.2,118.7,103.9,268.2,562.8,164.2,246.6,13.034
11/11/2022,9.3868,9.54,2.852,248,3.075,158.22,5.297,0.1447,85.95,50.1,33.33,7.268,5.53,1.8,51.76,1.8525,3.556,3.12,7.636,73.15,119.95,10.218,184.35,28.6,14.435,23.925,470.2,11.092,472.4,2.1605,410.4,51.92,43.515,9.843,249.6,82.02,27.6,15.11,848,0.7854,2.5275,110.5,118.45,103.95,268.2,565.6,164.45,246.6,12.8
11/14/2022,9.3287,9.628,2.828,243.9,3.083,157.62,5.369,0.1515,84.7,50.05,33.15,7.28,5.6,1.79,52.18,1.845,3.594,3.165,7.824,72.3,118.7,10.178,186.15,28.85,14.52,24.16,480.3,11.21,475.4,2.1865,415.0,51.12,43.605,9.743,249.3,85.9,28.62,15.18,845,0.7884,2.572,112.1,118.2,104.25,275.4,577.2,164.1,244.2,12.87
11/15/2022,9.3951,9.644,2.9,239.6,3.156,157.22,5.411,0.1538,85.0,50.25,33.6,7.546,5.672,1.8156,52.47,1.87,3.752,3.232,8.044,73.25,119.3,10.316,183.2,29.06,14.625,24.405,480.0,11.29,467.8,2.19,423.8,51.76,43.715,9.848,250.5,87.9,29.45,14.98,851,0.8332,2.6085,112.2,118.55,105.5,280.8,576.8,165,246.0,13.054
11/16/2022,9.3619,9.532,2.974,233.4,3.2,154.4,5.362,0.1573,85.35,50.1,33.35,7.582,5.73,1.7634,52.09,1.876,3.752,3.281,8.022,74.2,120.7,10.134,185.55,28.81,14.66,23.88,475.5,11.224,470.9,2.1905,419.6,50.26,43.13,9.9,246.9,86.0,28.61,14.77,849,0.8372,2.5755,113.4,120.75,106.45,275.8,573.6,166.95,245.4,12.99
11/17/2022,9.5695,9.562,2.96,225.2,3.21,156.66,5.332,0.1522,85.6,51,33.2,7.604,5.79,1.8124,52.51,1.8825,3.758,3.319,8.022,74.7,119.95,10.1,182.0,29.32,14.755,24.08,481.2,11.29,471,2.178,417.4,50.54,44.42,9.788,253,83.34,27.88,14.65,842,0.8282,2.5295,113.3,117.55,105.35,272.4,584.8,165.55,245.0,13.016
11/18/2022,9.6982,9.705,2.97,228.2,3.25,158.22,5.448,0.1525,87.2,50.3,33.43,7.602,6.052,1.813,53.31,1.9095,3.82,3.397,8.068,75.3,122.4,10.212,184.05,29.27,15,24.03,478.9,11.438,480.5,2.2165,419.9,52.46,45.475,9.879,258.1,83.8,28.06,14.74,844,0.8366,2.606,114,118.15,106.15,272.0,581.6,166,245.6,13.102
11/21/2022,9.7438,9.706,3.012,227.9,3.28,157.94,5.455,0.1511,88.65,50.4,33.26,7.642,6.14,1.7998,52.62,1.9145,3.826,3.38,8.124,75.7,122.75,10.218,183.0,29.24,14.92,23.92,483.5,11.362,495.4,2.141,418.3,51.3,45.515,9.804,255.6,83.36,27.86,15.06,843,0.8434,2.6885,112.5,117.8,104.7,270.4,580.4,165.45,244.4,13.264
11/22/2022,9.9431,9.701,3,226.9,3.344,157.92,5.519,0.153,87.9,50.6,33.57,7.7,6.324,1.783,52.44,1.919,3.836,3.515,8.068,74.9,126.5,10.168,187.1,29.51,15.035,23.815,486.85,11.534,498.5,2.1605,430.4,52.42,45.57,9.823,254.6,84.0,28.15,14.98,850,0.8682,2.777,115.6,118.8,105.25,270.4,585.6,167.7,254.8,13.43
11/23/2022,9.9265,9.7,2.986,234.1,3.369,158.28,5.536,0.1525,88.3,50.65,33.9,7.518,6.368,1.8316,52.74,1.9405,3.892,3.553,7.95,74.55,126.15,10.226,187.5,29.37,15.15,24.075,489.2,11.472,506.2,2.1445,436.4,52.1,45.485,10.124,254.3,83.76,28.07,14.96,854,0.8762,2.774,115.8,119.4,105.35,269.0,587.0,167.9,261.4,13.218
11/24/2022,10.0178,9.726,2.942,235.4,3.315,159.42,5.58,0.1528,88.6,51.3,32.1,7.374,6.3,1.7968,53.23,1.9565,3.852,3.551,8.16,74.55,126.45,10.37,189.6,29.76,15.215,24.365,489.5,11.548,509.8,2.16,433.2,53.06,45.94,10.116,258.7,85.76,28.87,14.99,857,0.866,2.7855,117,119.25,105.2,273.0,589.4,167.15,261.2,13.34
11/25/2022,10.1424,9.738,2.866,228,3.331,159.06,5.641,0.1554,87.9,51.05,32.21,7.26,6.318,1.777,53.33,1.9695,3.9,3.576,8.03,74.0,127.4,10.39,189.25,29.71,15.365,24.295,491.95,11.632,508.4,2.1585,437.9,53.24,46.31,10.094,256,86.28,28.86,14.93,860,0.8764,2.8335,119.4,119.4,104.3,270.8,590.0,167.65,263.6,13.124
11/28/2022,9.9556,9.628,2.926,224,3.292,158.18,5.54,0.1521,86.8,49.04,31.89,7.174,6.248,1.8086,52.8,1.9515,3.87,3.536,7.892,73.05,126.8,10.206,188.4,29.2,15.2,24.01,488.6,11.518,507.8,2.116,427.8,51.62,45.815,9.979,254.6,84.68,28.59,14.58,868,0.873,2.8025,119.3,119.0,103.45,269.6,579.8,166.55,263.0,13.1
